feature,horizon,IC_mean,RankIC_mean,IC_std,negative_IC_ratio,n_folds,n_samples_mean
cost-per-transaction,7,-0.09905032584518593,-0.10153563341603919,0.16696006540099717,0.8235294117647058,17,182.7058823529412
cost-per-transaction,10,-0.1247885475753175,-0.12691661900746803,0.1963211574079591,0.8235294117647058,17,182.7058823529412
cost-per-transaction,14,-0.1368184569042893,-0.1472333508073812,0.2148977300851003,0.8823529411764706,17,182.7058823529412
cost-per-transaction,21,-0.17430994939395664,-0.1690853618419578,0.24570567013714423,0.8823529411764706,17,182.7058823529412
cost-per-transaction,30,-0.22395835250208096,-0.2126354267039845,0.2533296261206671,0.8235294117647058,17,182.7058823529412
cost-per-transaction,45,-0.25884757450549384,-0.26486565719936983,0.27422304535141084,0.8235294117647058,17,182.7058823529412
cost-per-transaction,60,-0.3340781249492488,-0.32312752350952356,0.28263905924432536,0.875,16,182.625
cost-per-transaction,90,-0.3801013471198752,-0.36280718387646665,0.31623610907684885,0.875,16,182.625
cost-per-transaction,120,-0.39940502477297035,-0.37586122454905757,0.3310115734018214,0.8125,16,182.625
cost-per-transaction,180,-0.5308856217321138,-0.5060773960219506,0.26341501078716534,0.9333333333333333,15,182.6
cptx_log1p,1,-0.03159750119997395,-0.03828920782221558,0.08648610319473322,0.6470588235294118,17,182.7058823529412
cptx_log1p,2,-0.05716290034684743,-0.04320576987194392,0.12174124012724132,0.7647058823529411,17,182.7058823529412
cptx_log1p,3,-0.06680579309754012,-0.06386624752377743,0.12984762460112356,0.7647058823529411,17,182.7058823529412
cptx_log1p,5,-0.08638914500853885,-0.0882977668949208,0.15960357013779233,0.7647058823529411,17,182.7058823529412
cptx_log1p,7,-0.10071044142865987,-0.10153563341603919,0.17644003446616777,0.7647058823529411,17,182.7058823529412
cptx_log1p,10,-0.12853009010745614,-0.12691661900746803,0.20328430491597899,0.8235294117647058,17,182.7058823529412
cptx_log1p,14,-0.13851163931008817,-0.1472333508073812,0.22193680848974157,0.8823529411764706,17,182.7058823529412
cptx_log1p,21,-0.17964837122470556,-0.1690853618419578,0.256783703521536,0.8823529411764706,17,182.7058823529412
cptx_log1p,30,-0.23082648046854068,-0.2126354267039845,0.267087771975505,0.8235294117647058,17,182.7058823529412
cptx_log1p,45,-0.2690569028994097,-0.26486565719936983,0.2848545678434854,0.8235294117647058,17,182.7058823529412
cptx_log1p,60,-0.34357239614343904,-0.32312752350952356,0.2893733016578931,0.875,16,182.625
cptx_log1p,90,-0.39206909847208204,-0.36280718387646665,0.3212813737160906,0.875,16,182.625
cptx_log1p,120,-0.4146015519385733,-0.37586122454905757,0.34798501667381687,0.75,16,182.625
cptx_log1p,180,-0.5432403482673175,-0.5060773960219506,0.25750058623138883,0.9333333333333333,15,182.6
cptx_ma7_dev,1,0.021580122775217255,-0.004460069736795798,0.0701003188994563,0.4117647058823529,17,182.7058823529412
cptx_ma7_dev,2,0.004918960039103565,0.015132381505567153,0.09842035285320927,0.4117647058823529,17,182.7058823529412
cptx_ma7_dev,3,0.007003134741706239,0.00038753260362046985,0.10135443738977454,0.5294117647058824,17,182.7058823529412
cptx_ma7_dev,5,0.0046692788146359375,-0.004814115687317658,0.10961900145314296,0.5882352941176471,17,182.7058823529412
cptx_ma7_dev,7,0.0033612428649629133,0.0037000822074522,0.09341158151326627,0.5882352941176471,17,182.7058823529412
cptx_ma7_dev,10,-0.023502697525767,-0.022774319917923936,0.05591953480339618,0.7058823529411765,17,182.7058823529412
cptx_ma7_dev,14,-0.013554523833290037,-0.02661459970865439,0.05077316611987757,0.6470588235294118,17,182.7058823529412
cptx_ma7_dev,21,-0.00478079671586716,0.004084645286932229,0.0717826438699765,0.5882352941176471,17,182.7058823529412
cptx_ma7_dev,30,0.00976534766694006,0.006016176555373518,0.07249469619815008,0.47058823529411764,17,182.7058823529412
cptx_ma7_dev,45,0.008446577937270761,-0.008684105452405236,0.06925683927543948,0.5294117647058824,17,182.7058823529412
cptx_ma7_dev,60,-0.007243066329212357,-0.01241660497322693,0.06037777118320312,0.5,16,182.625
cptx_ma7_dev,90,-0.011146626982385863,-0.02833252588452328,0.07346130993915355,0.625,16,182.625
cptx_ma7_dev,120,-0.007862173489028769,-0.018410214576590984,0.06460174857196815,0.5625,16,182.625
cptx_ma7_dev,180,-0.00767061956354312,-0.03033337631019,0.08819372013151311,0.5333333333333333,15,182.6
cptx_pct_1d,1,0.033741714263019744,0.013759494892083474,0.05850327559974668,0.29411764705882354,17,182.7058823529412
cptx_pct_1d,2,0.012883725294161943,0.01689401563573188,0.06898639326444678,0.4117647058823529,17,182.7058823529412
cptx_pct_1d,3,0.012591462452756124,0.00889683491558484,0.05796931475154148,0.4117647058823529,17,182.7058823529412
cptx_pct_1d,5,-0.0018938276626882448,-0.006420594543473437,0.03397178168879511,0.5294117647058824,17,182.7058823529412
cptx_pct_1d,7,0.01249525256978843,0.013638761510389024,0.03282455217841492,0.35294117647058826,17,182.7058823529412
cptx_pct_1d,10,-0.002388796523416451,0.0007977800091291986,0.024559685892242028,0.47058823529411764,17,182.7058823529412
cptx_pct_1d,14,-0.00893736652373836,-0.01000881710267397,0.021408096895860495,0.6470588235294118,17,182.7058823529412
cptx_pct_1d,21,-0.002338799651070885,0.005117296742918612,0.031602026370684266,0.5882352941176471,17,182.7058823529412
cptx_pct_1d,30,0.00039097023050687653,-0.0004508146349610996,0.04204570604927158,0.35294117647058826,17,182.7058823529412
cptx_pct_1d,45,0.007839038723805506,-0.0027472325047788364,0.032043300686888515,0.47058823529411764,17,182.7058823529412
cptx_pct_1d,60,0.003965544490535192,0.006728978430132823,0.029027718458630596,0.4375,16,182.625
cptx_pct_1d,90,0.0015210570817663215,-0.0005031553814769918,0.023585427337563792,0.5625,16,182.625
cptx_pct_1d,120,0.001740003605145245,0.0057634732194697435,0.020487924187403923,0.5,16,182.625
cptx_pct_1d,180,0.008677575524899719,0.0037032100609753877,0.03235478608280477,0.4666666666666667,15,182.6
cptx_pct_7d,1,0.015073985632550739,0.0009739114567178128,0.07198195028397818,0.29411764705882354,17,182.7058823529412
cptx_pct_7d,2,-0.00203161368155017,-0.00255345413304668,0.08929087967073039,0.5294117647058824,17,182.7058823529412
cptx_pct_7d,3,-0.0022481262095533933,-0.01278223076501801,0.1117589846732163,0.5882352941176471,17,182.7058823529412
cptx_pct_7d,5,-0.021198625001205614,-0.016889314326326014,0.12464949719099407,0.5294117647058824,17,182.7058823529412
cptx_pct_7d,7,-0.03118373421927624,-0.02345875786902733,0.09595894339423243,0.5882352941176471,17,182.7058823529412
cptx_pct_7d,10,-0.045453749969567546,-0.04970886707476044,0.0752749425146109,0.7058823529411765,17,182.7058823529412
cptx_pct_7d,14,-0.020902348094765492,-0.03851946229833949,0.05989208110261846,0.5882352941176471,17,182.7058823529412
cptx_pct_7d,21,-0.00011396194202678078,-0.0011431082757997015,0.11613565580110809,0.47058823529411764,17,182.7058823529412
cptx_pct_7d,30,0.01402823448382904,0.00808711151662129,0.12686559244875192,0.5294117647058824,17,182.7058823529412
cptx_pct_7d,45,0.020077017964971435,-0.00370949327457863,0.0902468021378951,0.5882352941176471,17,182.7058823529412
cptx_pct_7d,60,-0.011646142857683377,-0.020290332015761053,0.09971661664756548,0.5,16,182.625
cptx_pct_7d,90,-0.026427674804449536,-0.039636574357899614,0.12761808100326757,0.625,16,182.625
