scope,strategy,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
oos,quantile_ls_0.30,0.6001412928293889,0.30007064641469444,0.30007064641469444,-0.0641487244206449,-0.0057260749063650085,-0.013319295188156033,-0.7472862023193311,0.18035121025154247
oos,quantile_ls_0.20,0.4002119392440834,0.2001059696220417,0.2001059696220417,0.641326652815781,0.043852993515326455,0.1201786034842803,-0.6907269596214856,0.14143331751305174
oos,quantile_ls_0.10,0.20028258565877782,0.10014129282938891,0.10014129282938891,2.047050108982999,0.10131545881915005,0.33926506860009203,-0.6051180201344147,0.10915994304698623
oos,quantile_ls_0.05,0.10031790886612504,0.05015895443306252,0.05015895443306252,3.698042834289253,0.1434015813584819,0.614988373028338,-0.2274805423542354,0.062173706691979115
oos,quantile_ls_0.02,0.040268456375838924,0.020134228187919462,0.020134228187919462,1.6053937452951672,0.08647892088672648,0.4589297335766695,-0.2687375065304815,0.024679639297579496
oos,quantile_asym_ls_L0.50_S0.50,1.0,0.5,0.5,-0.9314462760519036,-0.20716718532325906,-0.39405802528037076,-0.976044960308714,0.16563834836260086
oos,quantile_asym_ls_L0.50_S0.40,0.9000353232073472,0.5,0.40003532320734725,-0.8087801874929068,-0.13349869200774467,-0.26311151666122007,-0.9439657037878127,0.17465590887517798
oos,quantile_asym_ls_L0.50_S0.30,0.8000706464146945,0.5,0.30007064641469444,-0.6340740133101462,-0.08339367082306959,-0.17042836396416974,-0.915499451490987,0.18509729473184622
oos,quantile_asym_ls_L0.50_S0.20,0.7001059696220416,0.5,0.2001059696220417,-0.14520439409072006,-0.013497522023981356,-0.028776859828388127,-0.8516534305981731,0.1537731371618415
oos,quantile_asym_ls_L0.50_S0.10,0.6001412928293889,0.5,0.10014129282938891,0.04598391985903438,0.003901675153379358,0.008570026235494597,-0.7942805093540188,0.13953488372093023
oos,quantile_asym_ls_L0.50_S0.05,0.5501589544330625,0.5,0.05015895443306252,0.09478660930439808,0.007874746566647772,0.01822667857259429,-0.7277122253745304,0.11532985287138112
oos,quantile_asym_ls_L0.50_S0.02,0.5201342281879194,0.5,0.020134228187919462,0.1802836469682949,0.01446058073424572,0.03423367715296692,-0.7686505525311464,0.09539629805410536
oos,quantile_asym_ls_L0.40_S0.50,0.9000353232073472,0.40003532320734725,0.5,-0.9416150579356966,-0.21811683333559562,-0.43247356130260506,-0.9796124629676785,0.17655434266729947
oos,quantile_asym_ls_L0.40_S0.40,0.8000706464146945,0.40003532320734725,0.40003532320734725,-0.8371444024948038,-0.14546576015768353,-0.29977537452632913,-0.9523106075452845,0.1855719031798766
oos,quantile_asym_ls_L0.40_S0.30,0.7001059696220416,0.40003532320734725,0.30007064641469444,-0.6883529252344381,-0.09605272893036976,-0.20597362737639552,-0.928083689938295,0.19601328903654486
oos,quantile_asym_ls_L0.40_S0.20,0.6001412928293889,0.40003532320734725,0.2001059696220417,-0.2719988199967047,-0.02712190120856306,-0.06094541706654146,-0.8737459333704313,0.1646891314665401
oos,quantile_asym_ls_L0.40_S0.10,0.5001766160367361,0.40003532320734725,0.10014129282938891,-0.10917004877226266,-0.009963000700641933,-0.023143971754602404,-0.7801394368633101,0.15045087802562884
oos,quantile_asym_ls_L0.40_S0.05,0.45019427764040976,0.40003532320734725,0.05015895443306252,-0.06760641033291215,-0.006044800544841689,-0.014894763691919732,-0.7101599115452327,0.12624584717607973
oos,quantile_asym_ls_L0.40_S0.02,0.4201695513952667,0.40003532320734725,0.020134228187919462,0.005208592313121763,0.0004500780459084641,0.0011378670827175833,-0.7466786644989212,0.10631229235880399
oos,quantile_asym_ls_L0.30_S0.50,0.8000706464146945,0.30007064641469444,0.5,-0.8246746819407557,-0.1399873975346343,-0.2972461973602187,-0.9283582277181263,0.1608922638822971
