model,task,variant,selected_feature_count,cnn_lstm_classification_full_history_accuracy,cnn_lstm_classification_full_history_precision,cnn_lstm_classification_full_history_recall,cnn_lstm_classification_full_history_f1,cost_bps,cumulative_return,annualised_return,annualised_volatility,max_drawdown,sharpe_ratio,turnover,n_days,cnn_lstm_classification_oos_accuracy,cnn_lstm_classification_oos_precision,cnn_lstm_classification_oos_recall,cnn_lstm_classification_oos_f1,cnn_lstm_regression_oos_mae,cnn_lstm_regression_oos_mse,cnn_lstm_regression_oos_rmse,cnn_lstm_regression_oos_ic,cnn_lstm_regression_oos_rank_ic,cnn_lstm_oos_rank_ic,gru_classification_oos_accuracy,gru_classification_oos_precision,gru_classification_oos_recall,gru_classification_oos_f1,gru_regression_oos_mae,gru_regression_oos_mse,gru_regression_oos_rmse,gru_regression_oos_ic,gru_regression_oos_rank_ic,gru_oos_rank_ic,lasso_regression_oos_mae,lasso_regression_oos_mse,lasso_regression_oos_rmse,lasso_regression_oos_ic,lasso_regression_oos_rank_ic,lasso_oos_rank_ic,lgbm_classification_oos_accuracy,lgbm_classification_oos_precision,lgbm_classification_oos_recall,lgbm_classification_oos_f1,lgbm_regression_oos_mae,lgbm_regression_oos_mse,lgbm_regression_oos_rmse,lgbm_regression_oos_ic,lgbm_regression_oos_rank_ic,lgbm_oos_rank_ic,lstm_classification_oos_accuracy,lstm_classification_oos_precision,lstm_classification_oos_recall,lstm_classification_oos_f1,lstm_regression_oos_mae,lstm_regression_oos_mse,lstm_regression_oos_rmse,lstm_regression_oos_ic,lstm_regression_oos_rank_ic,lstm_oos_rank_ic,rf_classification_oos_accuracy,rf_classification_oos_precision,rf_classification_oos_recall,rf_classification_oos_f1,rf_regression_oos_mae,rf_regression_oos_mse,rf_regression_oos_rmse,rf_regression_oos_ic,rf_regression_oos_rank_ic,rf_oos_rank_ic,svm_classification_oos_accuracy,svm_classification_oos_precision,svm_classification_oos_recall,svm_classification_oos_f1,cost,svm_regression_oos_mae,svm_regression_oos_mse,svm_regression_oos_rmse,svm_regression_oos_ic,svm_regression_oos_rank_ic,svm_oos_rank_ic,tcn_classification_oos_accuracy,tcn_classification_oos_precision,tcn_classification_oos_recall,tcn_classification_oos_f1,tcn_regression_oos_mae,tcn_regression_oos_mse,tcn_regression_oos_rmse,tcn_regression_oos_ic,tcn_regression_oos_rank_ic,tcn_oos_rank_ic,xgboost_classification_oos_accuracy,xgboost_classification_oos_precision,xgboost_classification_oos_recall,xgboost_classification_oos_f1,xgboost_regression_oos_mae,xgboost_regression_oos_mse,xgboost_regression_oos_rmse,xgboost_regression_oos_ic,xgboost_regression_oos_rank_ic,xgboost_oos_rank_ic,predictive_score,trading_score,rmse,ic,predictive_rank,trading_rank
lgbm,classification,onchain,58.0,,,,,5.0,-0.1416537995870799,-0.0131432695760489,0.343091251762803,-0.7960018326053819,-0.0383083786267321,0.3531086853345989,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5192511480042388,0.5202067669172933,0.7650310988251555,0.6193006993006993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6193006993006993,-0.1416537995870799,,,13.0,21.0
lstm,classification,boruta_onchain,22.0,,,,,5.0,-0.345152147321411,-0.036004936635839,0.3642756616821022,-0.6945225495834142,-0.0988398084834445,0.1822496440436639,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49558459908159663,0.5039949537426409,0.8282653766413269,0.6266666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6266666666666667,-0.345152147321411,,,10.0,22.0
svm,classification,boruta_all,28.0,,,,,5.0,-0.4132707658168904,-0.0451327623636763,0.316440554382019,-0.785731378917662,-0.1426263534767746,0.2771713336497389,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5098904980572236,0.5105291098920545,0.9968901174844506,0.6752486834406085,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6752486834406085,-0.4132707658168904,,,2.0,23.0
cnn_lstm,classification,onchain,58.0,,,,,5.0,-0.4651110774729796,-0.0527529335817931,0.3726835646192769,-0.76687735161504,-0.141548859649027,0.2415757000474608,4214.0,0.5031790886612505,0.5147756293323604,0.48756046993780233,0.5007985803016858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5007985803016858,-0.4651110774729796,,,30.0,24.0
lgbm,classification,univariate,1.0,,,,,5.0,-0.5540596747684003,-0.0675581872574739,0.3534859166683674,-0.7020315601340184,-0.191119883627091,0.1105837683910773,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5074178735429177,0.5106902871105681,0.866620594333103,0.6426649583600257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6426649583600257,-0.5540596747684003,,,5.0,25.0
lgbm,classification,boruta_onchain,22.0,,,,,5.0,-0.5620960454945592,-0.0690257755833068,0.3347982590042318,-0.918351298836857,-0.2061712500793928,0.377313716184148,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5199576121511833,0.5204271123491179,0.7747062888735314,0.6226048319911136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6226048319911136,-0.5620960454945592,,,11.0,26.0
xgboost,classification,univariate,1.0,,,,,5.0,-0.5643280056049411,-0.069437737039109,0.3694486485001756,-0.725178279207717,-0.1879496306753333,0.1205505457997152,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4939950547509714,0.5044739278000617,0.56496199032481,0.5330073349633252,,,,,,,0.5330073349633252,-0.5643280056049411,,,24.0,27.0
svm,classification,boruta_onchain,22.0,,,,,5.0,-0.5792415410871339,-0.0722409186296404,0.3211961121049776,-0.7760539296412821,-0.2249121826419545,0.2695775984812529,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5111268103143766,0.5111268103143766,1.0,0.6764843384759234,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6764843384759234,-0.5792415410871339,,,1.0,28.0
cnn_lstm,classification,boruta_onchain_full_history,,0.525,0.525,1.0,0.6885245901639345,5.0,-0.6370621824489735,-0.0840444268432382,0.4433280757675744,-0.9526013642953068,-0.1895761433510034,0.1684859990507831,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6370621824489735,,,,29.0
rf,classification,univariate,1.0,,,,,5.0,-0.6398662014395092,-0.0846595451949058,0.3494149880850441,-0.7586496774197712,-0.2422893925039659,0.0944470811580446,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49381843871423525,0.5045219638242894,0.539737387698687,0.5215358931552587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5215358931552587,-0.6398662014395092,,,27.0,30.0
