family,model,task,variant,prediction_start,best_return_strategy,best_return,best_return_sharpe,best_return_mdd,best_sharpe_strategy,best_sharpe,best_sharpe_return,best_sharpe_mdd,cycle_2016_2020_return_bestret,cycle_2016_2020_sharpe_bestret,cycle_2016_2020_return_bestsh,cycle_2016_2020_sharpe_bestsh,cycle_2020_2024_return_bestret,cycle_2020_2024_sharpe_bestret,cycle_2020_2024_return_bestsh,cycle_2020_2024_sharpe_bestsh,cycle_2024_end_return_bestret,cycle_2024_end_sharpe_bestret,cycle_2024_end_return_bestsh,cycle_2024_end_sharpe_bestsh
ml,lgbm,classification,boruta_onchain,2018-03-17,long_only_band_0.01,2.3402297095279683,0.2475365137442465,-0.707346323911913,quantile_long_only_0.05,0.2505749727225028,0.4180998363356307,-0.1830068153211386,0.333693226797588,0.1601726571791426,0.6832600195879404,1.1843822130405215,2.949987462955531,0.7808910771157118,-0.099923340127526,-0.1587227199451,-0.3545499312749788,-0.5588480819408684,-0.0639994615404278,-0.5567702693066163
dl,lstm,classification,boruta_onchain,2018-03-17,quantile_long_only_0.10,2.250217506394775,0.6018382560494845,-0.3364559012119357,quantile_long_only_0.05,0.6591585013457413,1.6967803544603286,-0.1697793965678943,0.5729433351474873,0.5299449597047291,0.691118981794598,0.7617913136221339,1.1550200828649109,1.1208610877482652,0.625996486405118,1.0261027810344152,-0.0411558434987118,-0.318443117552512,-0.0192646968527945,-0.1645044117656528
dl,tcn,regression,boruta_onchain,2018-03-17,sign_band_0.0025,89.72090887891618,1.0465200415298552,-0.6834291984575712,sign_band_0.0025,1.0465200415298552,89.72090887891618,-0.6834291984575712,5.237079930134866,1.1551115792609217,5.237079930134866,1.1551115792609217,12.503961748870186,1.7460436095405252,12.503961748870186,1.7460436095405252,0.0771742267251041,0.1220319193178745,0.0771742267251041,0.1220319193178745
ml,svm,regression,boruta_onchain,2018-03-17,full_exposure_sign,50.69598700474484,0.7748419812829188,-0.7451589441157604,quantile_long_only_0.20,0.9221391401007965,10.92881470064848,-0.5043047414488933,12.824427745741756,1.74534117728828,2.886557271230997,1.4800216531718406,2.368034048178487,0.577033753857413,1.9810391276149253,0.9768231059917688,0.1113386536193736,0.1179991997399694,0.0301054656792121,0.1044428115196205
dl,lstm,regression,boruta_onchain,2018-03-17,sign_band_0.0025,22.97044499931165,0.716948278815071,-0.5891434137186844,quantile_long_only_0.20,0.757850549389719,6.911724531592099,-0.4802616162421215,1.34850897096742,0.4978375984536315,0.8171574922592717,0.6773499181239772,7.056984757749669,1.3169272045548617,2.8415974123263963,1.1702032047746458,0.2680770000695609,0.4197591409555893,0.1339238388577242,0.3800691765836727
ml,lgbm,regression,boruta_onchain,2018-03-17,full_exposure_sign,22.635746397066388,0.598934259385551,-0.8731850441995996,full_exposure_sign,0.598934259385551,22.635746397066388,-0.8731850441995996,4.949473416447908,1.047208256429498,4.949473416447908,1.047208256429498,3.2653063275777106,0.7108468465951282,3.2653063275777106,0.7108468465951282,-0.0686358946083749,-0.0763831264960374,-0.0686358946083749,-0.0763831264960374
ml,rf,regression,boruta_onchain,2018-03-17,quantile_ls_0.20,13.212349000247077,0.6944792703046592,-0.6370285736483073,quantile_long_only_0.20,0.7612259983745882,6.500112408980864,-0.5559585313640931,4.5602327692835125,1.3110716444190325,2.197134719667098,1.5408401161295726,2.970502941731572,0.9886300664389374,1.635004420060484,0.8496834183155744,-0.3669708875376201,-0.6860290272145102,-0.1097223153828809,-0.2580482760346722
dl,cnn_lstm,regression,boruta_onchain,2018-03-17,sign_band_0.0025,12.763877365628984,0.5876193124512383,-0.6404786223792911,quantile_long_only_0.10,0.7389449529990385,4.040162766008273,-0.220760982470355,0.6050651048480871,0.2584049374909919,2.1719591632552757,1.4455686720512326,7.034029927434879,1.3934267115007393,0.5509115802104914,0.519589948202728,0.0490443857218134,0.0779059371077557,0.0245423986071933,0.078652303215877
dl,gru,regression,boruta_onchain,2018-03-17,sign_band_0.0025,10.409541073740892,0.5345379851271045,-0.5916914186572166,sign_band_0.0025,0.5345379851271045,10.409541073740892,-0.5916914186572166,0.6729339780844366,0.2939005520835785,0.6729339780844366,0.2939005520835785,9.384386921750066,1.5721362504459715,9.384386921750066,1.5721362504459715,-0.3310962364318773,-0.5084544470746396,-0.3310962364318773,-0.5084544470746396
ml,xgboost,regression,onchain,2018-03-17,full_exposure_sign,10.090804848735534,0.440169725617951,-0.8368867735415915,quantile_long_only_0.05,0.7441666491946539,2.0879901971429766,-0.1321601933594348,9.52515781342706,1.500222521732654,0.6778622280233104,0.8160170752035583,0.0944327878498152,0.036963141272729,0.6372152436901706,0.904260782691027,-0.0700007099271309,-0.0778702327770931,0.1241230060074114,0.7352945695730546
