model,task,variant,best_strategy,period,period_start,period_end,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
lstm,classification,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,-0.0411558434987118,-0.0213438268976275,-0.318443117552512,-0.1345144358842333,0.0281293952180028
lstm,classification,onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,8.327991851333085,0.2133866477302366,0.4056287649634513,-0.7663456370856907,0.0004746084480303
lstm,classification,onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,0.1054927790558679,0.0264730290685175,0.0468483111685244,-0.6716664292494331,0.0007137758743754
lstm,classification,onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,6.422121039177069,0.6626774771053099,1.0602187917749415,-0.7663456370856907,0.0
lstm,classification,onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,0.1367975932151548,0.068035236186543,0.1450239272937162,-0.4973881729854681,0.0014064697609001
lstm,regression,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,22.97044499931165,0.316746226387087,0.716948278815071,-0.5891434137186844,0.3939250118652112
lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,1.34850897096742,0.2491132879979913,0.4978375984536315,-0.5143406790908359,0.3683083511777302
lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,7.056984757749669,0.6976540170484795,1.3169272045548617,-0.589143413718669,0.5927727588603197
lstm,regression,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,0.2680770000695609,0.1296684226653712,0.4197591409555893,-0.1817657795082497,0.4064697609001406
lstm,regression,onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,3.5847599109693222,0.14098681563106,0.5933531806485953,-0.4072940719070477,0.1143806359753203
lstm,regression,onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,0.981073768321396,0.194953455684032,0.8729763477332225,-0.2745686959899182,0.0513918629550321
lstm,regression,onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,0.9647252814870058,0.1868491718663234,0.6696814494857349,-0.2561696880761136,0.1848505906879777
lstm,regression,onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,0.1779154467314636,0.0876952879689776,0.3121336432503996,-0.3188728410060951,0.2025316455696202
tcn,classification,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,7.172919202152446,0.1995725029371688,0.4483719590538413,-0.6493996443900263,0.1983863312766967
tcn,classification,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,0.5870223777104311,0.1278660910808942,0.281145877958105,-0.6011555911568951,0.1277658815132048
tcn,classification,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,5.9566324200989,0.6355850978191235,1.1456202457852511,-0.6493996443900243,0.2751911049339819
tcn,classification,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,-0.2593872644432234,-0.1428572910091268,-0.3776940675690001,-0.4757993187728757,0.3656821378340366
tcn,classification,onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,24.505071500802654,0.3238428177687098,0.617028535006124,-0.6711760540870751,0.3607024205030849
tcn,classification,onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,1.7974453310588676,0.3073563931112137,0.5448592365303051,-0.6711760540870751,0.1720199857244825
tcn,classification,onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,8.559766441586431,0.7729188270960525,1.2397990074404863,-0.4920662635102393,0.6546212647671994
tcn,classification,onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,-0.0444241303890313,-0.0230577297463236,-0.0493118847737296,-0.4512539255999053,0.4683544303797468
tcn,regression,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,89.72090887891618,0.4776407697829328,1.0465200415298552,-0.6834291984575712,0.4869482676791647
tcn,regression,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,5.237079930134866,0.6110723531709703,1.1551115792609217,-0.6493289757337274,0.483226266952177
tcn,regression,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,12.503961748870186,0.9352614115714276,1.7460436095405252,-0.683429198457569,0.6768589298123697
tcn,regression,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,0.0771742267251041,0.0389014785961601,0.1220319193178745,-0.3681825478240553,0.5639943741209564
tcn,regression,onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,4.745601913246808,0.163511387566458,0.524342630594066,-0.3865601747534702,0.1196013289036544
tcn,regression,onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,1.7407946297066554,0.3004066221444232,0.6986543840063542,-0.3865601747534702,0.1641684511063526
tcn,regression,onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,1.0676475832154169,0.2023200890922722,0.6441772808480904,-0.243756102223361,0.1653926337734537
tcn,regression,onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,0.0138705765335567,0.0070967512933948,0.0634782408692761,-0.1142981948290769,0.050632911392405
